t,name,resid
24,Transient 3,0.4749862850089933
24,Transient 4,-0.5299823381664088
24,Transient 5,0.7170359339986828
24.25,Transient 1,1.5804267691932457
24.25,Transient 2,0.44366717505627984
24.25,Transient 3,0.4484590796034277
24.25,Transient 4,-0.14660554266578488
24.25,Transient 5,1.0451060362842746
24.5,Transient 1,-1.0500981030432683
24.5,Transient 2,-2.912041806525297
24.5,Transient 3,0.2818328167166111
24.5,Transient 4,-0.5543453670292927
24.5,Transient 5,0.15096223858661675
24.75,Transient 1,0.9693276047558973
24.75,Transient 2,0.19850390143864072
24.75,Transient 3,0.4141552366240242
24.75,Transient 4,0.4328115710244784
24.75,Transient 5,-0.01828108529325001
25,Transient 1,-1.027784450373784
25,Transient 2,-0.2242676748405993
25,Transient 3,0.5831932964404423
25,Transient 4,1.1992950251521644
25,Transient 5,0.25571593346627536
25.25,Transient 1,-0.7460737204384822
25.25,Transient 2,-0.8080823239148632
25.25,Transient 3,-0.5803920476943634
25.25,Transient 4,-0.7182546424235553
25.25,Transient 5,0.3284213986269867
25.5,Transient 1,1.2563117597475466
25.5,Transient 2,-1.4685587178519968
25.5,Transient 3,0.8113250192622417
25.5,Transient 4,-0.9517594914514781
25.5,Transient 5,0.20420033223220768
25.75,Transient 1,0.8569550228686302
25.75,Transient 2,-1.12424599898152
25.75,Transient 3,-0.005931697301543513
25.75,Transient 4,0.19585713253721637
25.75,Transient 5,0.19860291452582463
26,Transient 1,1.1307882638660642
26,Transient 2,1.7536398479944784
26,Transient 3,-1.6402711920428747
26,Transient 4,0.020401005816396145
26,Transient 5,-0.497702220360947
26.25,Transient 1,-0.035991866922151255
26.25,Transient 2,0.14330807026617204
26.25,Transient 3,0.43314021986269813
26.25,Transient 4,1.3240153873312672
26.25,Transient 5,-1.490838138580575
26.5,Transient 1,-0.1543539453731586
26.5,Transient 2,0.7855983732720693
26.5,Transient 3,0.5197712300740521
26.5,Transient 4,-0.10245751212510229
26.5,Transient 5,1.5518010442491132
26.75,Transient 1,0.8503921466620004
26.75,Transient 2,-0.2281004695915996
26.75,Transient 3,-1.9999283926257907
26.75,Transient 4,0.4084899426489374
26.75,Transient 5,-0.006036621616010654
27,Transient 1,0.6390385586082965
27,Transient 2,-0.6041270768252985
27,Transient 3,-1.1576902822670887
27,Transient 4,-0.24513484061060525
27,Transient 5,1.5047699753983848
27.25,Transient 1,1.094701847790075
27.25,Transient 2,0.851436319375774
27.25,Transient 3,-0.1501067242089225
27.25,Transient 4,-1.6884198176983096
27.25,Transient 5,0.29390419116914746
27.5,Transient 1,-1.3481886932035223
27.5,Transient 2,1.745603825699569
27.5,Transient 3,-0.026506932911286515
27.5,Transient 4,-0.3832996660927372
27.5,Transient 5,0.4040818892662725
27.75,Transient 1,0.3662995954094434
27.75,Transient 2,1.2113446433076924
27.75,Transient 3,-1.5384083496716312
27.75,Transient 4,-0.8328913963018963
27.75,Transient 5,-0.039802779453976
28,Transient 1,0.4606666680336761
28,Transient 2,-0.5347158633422978
28,Transient 3,0.4075446654988589
28,Transient 4,-0.1563515599899758
28,Transient 5,-0.7714094143091792
28.25,Transient 1,-2.470951887363608
28.25,Transient 2,-0.9833821227933617
28.25,Transient 3,0.9280318015734503
28.25,Transient 4,-0.2991794273843012
28.25,Transient 5,-0.5901676931516188
28.5,Transient 1,-0.4422608575776579
28.5,Transient 2,0.2459512990277398
28.5,Transient 3,-0.9710078611694251
28.5,Transient 4,-0.6332886209509745
28.5,Transient 5,-1.0524701571345327
28.75,Transient 1,0.7978075014045536
28.75,Transient 2,0.43324533160719547
28.75,Transient 3,-0.45151904580119445
28.75,Transient 4,-1.1767420816330316
28.75,Transient 5,-0.292231999213923
29,Transient 1,-0.12901353238802973
29,Transient 2,0.7010073798534902
29,Transient 3,0.9833185534464687
29,Transient 4,0.7636763120244782
29,Transient 5,0.8039863245075874
29.25,Transient 1,0.8427028993896232
29.25,Transient 2,1.0509132332947786
29.25,Transient 3,-0.8327699981376364
29.25,Transient 4,-1.2604720125177786
29.25,Transient 5,1.1142427984436025
29.5,Transient 1,-0.06730135330631136
29.5,Transient 2,0.5999086145092272
29.5,Transient 3,-0.009290093733463588
29.5,Transient 4,-0.1547685639876133
29.5,Transient 5,-0.15609654398736844
29.75,Transient 1,0.024031881383907733
29.75,Transient 2,-0.6333784354425588
29.75,Transient 3,0.9536446702807055
29.75,Transient 4,0.33165814897530355
29.75,Transient 5,-1.6393950811175684
30,Transient 1,-1.2720443657273655
30,Transient 2,1.4990312194588324
30,Transient 3,0.5580788367746031
30,Transient 4,0.5140028043271533
30,Transient 5,1.3592297353304972
30.25,Transient 1,0.14216315446431982
30.25,Transient 2,-0.8209082173820416
30.25,Transient 3,2.2251519894032676
30.25,Transient 4,1.3507543874412966
30.25,Transient 5,-0.5568091878274679
30.5,Transient 1,-0.5060689442746681
30.5,Transient 2,-0.5932967031086088
30.5,Transient 3,0.995069685979916
30.5,Transient 4,-1.3929198193682149
30.5,Transient 5,0.250931350113833
30.75,Transient 1,-0.6874912569505455
30.75,Transient 2,-0.7194618311888193
30.75,Transient 3,-0.6738854406478261
30.75,Transient 4,0.011323595697967894
30.75,Transient 5,0.2196030220463121
31,Transient 1,-0.7307900398595766
31,Transient 2,-2.231281996946585
31,Transient 3,0.030286974575400128
31,Transient 4,-0.146262351209636
31,Transient 5,1.2167175043924334
31.25,Transient 1,-0.43314548950590837
31.25,Transient 2,0.9101055750872821
31.25,Transient 3,0.14176201629791302
31.25,Transient 4,0.9081128190604016
31.25,Transient 5,-1.4654131698738264
31.5,Transient 1,0.30813404495009356
31.5,Transient 2,0.5761297272189684
31.5,Transient 3,0.6089298104945897
31.5,Transient 4,-0.38795929673447077
31.5,Transient 5,1.4893670362966211
31.75,Transient 1,-0.551293683365746
31.75,Transient 2,-1.206204968621524
31.75,Transient 3,-0.640866376735785
31.75,Transient 4,-1.168023678014182
31.75,Transient 5,0.04255317752527855
32,Transient 1,0.7420193772266038
32,Transient 2,-1.5129346469610283
32,Transient 3,0.01202549081316099
32,Transient 4,-0.32756130105491293
32,Transient 5,0.5627664511539395
32.25,Transient 1,-0.9064241557681317
32.25,Transient 2,1.3148484530948077
